product_id,product_category,product_name,product_url,discounted_price,original_price,product_images_url,page_no
product_headset_688,headset,TwS Wireless Bluetooth Earphone I9Twin  Earpiec/Earbuds,https://www.jumia.com.ng/generic-tws-wireless-bluetooth-earphone-i9twin-earpiecearbuds-77146773.html,"₦ 3,900","₦ 7,500",https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/37/764177/1.jpg?3110,3
product_wrist_watch_1194,wrist_watch,T900 Pro Max Smartwatch Series 7 - Latest Edition -Black,https://www.jumia.com.ng/generic-t900-pro-max-smartwatch-series-7-latest-edition-black-131616620.html,"₦ 15,700","₦ 16,400","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/02/6616131/1.jpg?4578,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/02/6616131/2.jpg?4578,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/02/6616131/3.jpg?4578",5
product_ear_pods_418,ear_pods,Headphones Bluetooth Earphones Earbuds Ear Bods Stereo Sport,https://www.jumia.com.ng/generic-headphones-bluetooth-earphones-earbuds-ear-bods-stereo-sport-217209054.html,"₦ 9,790","₦ 19,579","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/45/0902712/1.jpg?4439,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/45/0902712/2.jpg?4439,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/45/0902712/3.jpg?4439,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/45/0902712/4.jpg?4439,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/45/0902712/5.jpg?4439,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/45/0902712/6.jpg?4439",1
product_backpack_959,backpack,Sport Waist Bag Pouch Cross Body Shoulder Chest Belly Bag Cellphone Key Holder Running Jogging Motorcycle Waterproof,https://www.jumia.com.ng/fashion-sport-waist-bag-pouch-cross-body-shoulder-chest-belly-bag-cellphone-key-holder-running-jogging-motorcycle-waterproof-132912702.html,"₦ 4,880","₦ 5,550","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/20/7219231/1.jpg?1424,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/20/7219231/2.jpg?1424,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/20/7219231/3.jpg?1424,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/20/7219231/4.jpg?1424,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/20/7219231/5.jpg?1424,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/20/7219231/6.jpg?1424,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/20/7219231/7.jpg?1424,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/20/7219231/8.jpg?1424",4
product_headset_697,headset,M6 Wireless Foldable Headset Macarons Heavy Bass-Black,https://www.jumia.com.ng/generic-m6-wireless-foldable-headset-macarons-heavy-bass-black-83086781.html,"₦ 5,826","₦ 11,652",https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/18/768038/1.jpg?6607,3
product_wrist_watch_1002,wrist_watch,Wlisth Luminous Tungsten Steel  Waterproof Fashion Couple Watch,https://www.jumia.com.ng/wlisth-luminous-tungsten-steel-waterproof-fashion-couple-watch-170712291.html,"₦ 2,999","₦ 5,683","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/19/2217071/1.jpg?0085,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/19/2217071/2.jpg?0085,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/19/2217071/3.jpg?0376,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/19/2217071/4.jpg?0376",1
product_mouse_363,mouse,2.4Ghz Mini Wireless Opti Al Gaming Mouse Mi E& Usb Re Eiver For P  Laptop-Gray,https://www.jumia.com.ng/generic-2.4ghz-mini-wireless-opti-al-gaming-mouse-mi-e-usb-re-eiver-for-p-laptop-gray-81904709.html,"₦ 2,560","₦ 6,220","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/90/740918/1.jpg?4031,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/90/740918/2.jpg?4031,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/90/740918/3.jpg?4031,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/90/740918/4.jpg?4031,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/90/740918/5.jpg?4031,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/90/740918/6.jpg?4031,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/90/740918/7.jpg?4031,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/90/740918/8.jpg?4031",5
product_office_chairs_1304,office_chairs,Office Chair Mesh High Back Ergonomic Design,https://www.jumia.com.ng/generic-office-chair-mesh-high-back-ergonomic-design-75731393.html,"₦ 85,000","₦ 87,000",https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/39/313757/1.jpg?0372,3
product_ear_pods_551,ear_pods,Case For Earpods_Soft Leather Cover For Ear Pods And Earbuds- Black,https://www.jumia.com.ng/generic-case-for-earpodssoft-leather-cover-for-ear-pods-and-earbuds-black-162208710.html,"₦ 3,650","₦ 3,990","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/01/7802261/1.jpg?8558,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/01/7802261/2.jpg?8558,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/01/7802261/3.jpg?8558",4
product_wrist_watch_1153,wrist_watch,Wrist Watches Men Quartz Movements Luminous Luxury Casual Stainless Steel,https://www.jumia.com.ng/generic-wrist-watches-men-quartz-movements-luminous-luxury-casual-stainless-steel-169858987.html,"₦ 6,640","₦ 12,500","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/78/9858961/1.jpg?2792,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/78/9858961/2.jpg?2792,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/78/9858961/3.jpg?2792,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/78/9858961/4.jpg?2792,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/78/9858961/5.jpg?2792,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/78/9858961/6.jpg?3936,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/78/9858961/7.jpg?3936,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/78/9858961/8.jpg?3936",4
