product_id,product_category,product_name,product_url,discounted_price,original_price,product_images_url,page_no
product_ear_pods_591,ear_pods,Ear Cap Silicone Case For AirPods 3,https://www.jumia.com.ng/generic-ear-cap-silicone-case-for-airpods-3-213994661.html,"₦ 1,270","₦ 1,814","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/16/6499312/1.jpg?0447,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/16/6499312/2.jpg?0447,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/16/6499312/3.jpg?0447,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/16/6499312/4.jpg?0447,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/16/6499312/5.jpg?0447,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/16/6499312/6.jpg?0447",5
product_flash_drive_1407,flash_drive,128GB USB OTG Flash Drive - Black +Free Type C Adapter,https://www.jumia.com.ng/generic-128gb-usb-otg-flash-drive-black-free-type-c-adapter-100854368.html,"₦ 4,890","₦ 8,556","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/86/3458001/1.jpg?6973,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/86/3458001/2.jpg?8254,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/86/3458001/3.jpg?6521,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/86/3458001/4.jpg?3121,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/86/3458001/5.jpg?3121,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/86/3458001/6.jpg?3121,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/86/3458001/7.jpg?1519,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/86/3458001/8.jpg?5293",1
product_headset_764,headset,EXTRA BASS Foldable Design Headset With Blinking LED Lights,https://www.jumia.com.ng/generic-extra-bass-foldable-design-headset-with-blinking-led-lights-197550548.html,"₦ 8,899","₦ 10,000","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/84/5055791/1.jpg?1334,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/84/5055791/2.jpg?1334,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/84/5055791/3.jpg?1334,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/84/5055791/4.jpg?1334,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/84/5055791/5.jpg?1334",5
product_backpack_831,backpack,Defacto Woman - Bag-Black,https://www.jumia.com.ng/defacto-woman-bag-black-206082415.html,"₦ 7,198","₦ 16,800","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/51/4280602/1.jpg?2589,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/51/4280602/2.jpg?2589,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/51/4280602/3.jpg?2589,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/51/4280602/4.jpg?2589,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/51/4280602/5.jpg?2589,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/51/4280602/6.jpg?2589",1
product_backpack_828,backpack,Defacto Woman Bags Bag - Black,https://www.jumia.com.ng/defacto-woman-bags-bag-black-85569621.html,"₦ 6,434","₦ 15,200","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/12/696558/1.jpg?6553,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/12/696558/2.jpg?6553,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/12/696558/3.jpg?6553,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/12/696558/4.jpg?6553,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/12/696558/5.jpg?6553",1
product_office_chairs_1393,office_chairs,Heavy Duty Executive Ergonomic Chair,https://www.jumia.com.ng/generic-heavy-duty-executive-ergonomic-chair-44332280.html,"₦ 144,000","₦ 149,000","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/08/223344/1.jpg?7934,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/08/223344/2.jpg?7934,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/08/223344/3.jpg?7934",5
product_mouse_292,mouse,Logitech M90 Wired Handy Mouse - Black,https://www.jumia.com.ng/logitech-m90-wired-handy-mouse-black-125697206.html,"₦ 3,500","₦ 5,000",https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/60/2796521/1.jpg?5858,3
product_usb_hub_68,usb_hub,6 In 1 USB Type C Hub Adapter,https://www.jumia.com.ng/generic-6-in-1-usb-type-c-hub-adapter-116846927.html,"₦ 9,500","₦ 22,000","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/72/9648611/1.jpg?6126,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/72/9648611/2.jpg?6126,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/72/9648611/3.jpg?6126,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/72/9648611/4.jpg?6127,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/72/9648611/5.jpg?6127,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/72/9648611/6.jpg?6127",2
product_wrist_watch_1098,wrist_watch,Smart Watch Bluetooth Call Waterproof Smartwatch,https://www.jumia.com.ng/generic-smart-watch-bluetooth-call-waterproof-smartwatch-143168210.html,"₦ 4,490","₦ 6,000","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/01/2861341/1.jpg?2885,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/01/2861341/2.jpg?2885",3
product_backpack_862,backpack,Defacto Woman Bag -Brown,https://www.jumia.com.ng/defacto-woman-bag-brown-174803445.html,"₦ 6,400","₦ 15,200","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/54/4308471/1.jpg?6017,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/54/4308471/2.jpg?6017,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/54/4308471/3.jpg?6017,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/54/4308471/4.jpg?6017,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/54/4308471/5.jpg?6017",2
